upm,particion
0000344,train
0000345,train
0000346,train
0000347,test
0000348,test
0000349,train
0000350,test
0000351,train
0000352,train
0000353,train
0000354,test
0000355,train
0000356,train
0000357,train
0000358,train
0000359,train
0000360,train
0000361,test
0000362,train
0000363,train
0000364,train
0000365,train
0000366,train
0000367,validation
0000368,test
0000369,train
0000370,train
0000371,train
0000372,train
0000373,train
0000374,test
0000375,train
0000376,train
0000377,test
0000378,train
0000379,validation
0000380,test
0000381,train
0000382,test
0000383,train
0000384,train
0000385,train
0000386,train
0000387,train
0000388,train
0000389,test
0000390,validation
0000391,train
0000392,train
0000393,train
0000394,test
0000395,train
0000396,train
0000397,train
0000398,validation
0000399,test
0000400,test
0000401,train
0000402,train
0000403,validation
0000404,validation
0000405,train
0000406,validation
0000407,train
0000408,train
0000409,test
0000410,train
0000411,test
0000412,train
0000413,validation
0000414,train
0000415,validation
0000416,train
0000417,test
0000418,train
0000419,train
0000420,validation
0000421,validation
0000422,validation
0000423,train
0000424,train
0000425,test
0000426,train
0000427,test
0000428,test
0000429,train
0000430,train
0000431,train
0000432,test
0000433,train
0000434,train
0000435,train
0000436,train
0000437,train
0000438,train
0000439,train
0000440,test
0000441,test
0000442,train
0000443,validation
0000444,train
0000445,validation
0000446,train
0000447,validation
0000448,test
0000449,validation
0000450,train
0000451,test
0000452,train
0000453,train
0000454,train
0000455,train
0000456,validation
0000457,test
0000458,test
0000459,train
0000460,train
0000461,train
0000462,test
0000463,test
0000464,train
0000465,train
0000466,test
0000467,train
0000468,test
0000469,validation
0000470,test
0000471,train
0000472,train
0000473,train
0000474,train
0000475,test
0000476,train
0000477,train
0000478,train
0000479,train
0000480,train
0000481,test
0000482,train
0000483,train
0000484,test
0000485,validation
0000486,train
0000487,validation
0000488,test
0000489,train
0000490,train
0000491,train
0000492,train
0000493,train
0000494,train
0000495,train
0000496,train
0000497,test
0000498,train
0000499,train
0000500,test
0000501,test
0000502,train
0000503,validation
0000504,train
0000505,train
0000506,train
0000507,validation
0000508,train
0000509,train
0000510,test
0000511,test
0000512,train
0000513,validation
0000514,test
0000515,validation
0000516,train
0000517,train
0000518,train
0000519,test
0000520,train
0000521,train
0000522,validation
0000523,train
0000524,train
0000525,train
0000526,train
0000527,train
0000528,validation
0000529,validation
0000530,train
0000531,train
0000532,train
0000533,test
0000534,test
0000535,train
0000536,train
0000537,train
0000538,train
0000539,train
0000540,train
0000541,validation
0000542,train
0000543,test
0000544,test
0000545,train
0000546,train
0000547,validation
0000548,train
0000549,train
0000550,test
0000551,train
0000552,train
0000553,train
0000554,validation
0000555,test
0000556,train
0000557,validation
0000558,train
0000559,train
0000560,train
0000561,train
0000562,train
0000563,test
0000564,test
0000565,train
0000566,test
0000567,train
0000568,test
0000569,test
0000570,validation
0000571,train
0000572,validation
0000573,train
0000574,train
0000575,train
0000576,train
0000577,test
0000578,test
0000579,train
0000580,validation
0000581,train
0000582,train
0000583,test
0000584,train
0000585,validation
0000586,train
0000587,test
0000588,train
0000589,train
0000590,validation
0000591,test
0000592,train
0000593,test
0000594,train
0000595,test
0000596,train
0000597,validation
0000598,train
0000599,train
0000600,validation
0000601,validation
0000602,train
0000603,train
0000604,test
0000605,validation
0000606,test
0000607,validation
0000608,train
0000609,test
0000610,train
0000611,validation
0000612,train
0000613,train
0000614,train
0000615,train
0000616,train
0000617,train
0000618,validation
0000619,train
0000620,train
0000621,test
0000622,test
0000623,validation
0000624,test
0000625,test
0000626,test
0000627,validation
0000628,train
0000629,train
0000630,train
0000631,validation
0000632,train
0000633,train
0000634,train
0000635,train
0000636,validation
0000637,train
0000638,test
0000639,train
0000640,train
0000641,validation
0000642,train
0000643,train
0000644,validation
0000645,train
0000646,train
0000647,train
0000648,test
0000649,train
0000650,train
0000651,validation
0000652,test
0000653,train
0000654,validation
0000655,train
0000656,test
0000657,train
0000658,train
0000659,train
0000660,train
0000661,train
0000662,validation
0000663,train
0000664,train
0000665,train
0000666,train
0000667,train
0000668,train
0000669,test
0000670,train
0000671,train
0000672,train
0000673,train
0000674,test
0000675,train
0000676,validation
0000677,test
0000678,train
0000679,train
0000680,validation
0000681,validation
0000682,validation
0000683,train
0000684,test
0000685,train
0000686,validation
0000687,train
0000688,validation
0000689,train
0000690,train
0000691,validation
0000692,validation
0000693,train
0000694,train
0000695,train
0000696,train
0000697,train
0000698,train
0000699,train
0000700,train
0000701,test
0000702,train
0000703,validation
0000704,train
0000705,test
0000706,test
0000707,train
0000708,train
0000709,test
0000710,train
0000711,test
0000712,test
0000713,test
0000714,test
0000715,test
0000716,test
0000717,train
0000718,train
0000719,test
0000720,validation
0000721,train
0000722,train
0000723,train
0000724,train
0000725,train
0000726,train
0000727,train
0000728,train
0000729,train
0000730,train
0000731,test
0000732,train
0000733,validation
0000734,test
0000735,train
0000736,test
0000737,test
0000738,train
0000739,test
0000740,validation
0000741,train
0000742,train
0000743,test
0000744,test
0000745,train
0000746,train
0000747,train
0000748,test
0000749,train
0000750,train
0000751,test
0000752,train
0000753,validation
0000754,validation
0000755,train
0000756,train
0000757,test
0000758,train
0000759,test
0000760,train
0000761,train
0000762,test
0000763,validation
0000764,test
0000765,test
0000766,test
0000767,train
0000768,train
0000769,train
0000770,train
0000771,train
0000772,train
0000773,train
0000774,train
0000775,test
0000776,validation
0000777,train
0000778,train
0000779,validation
0000780,train
0000781,train
0000782,train
0000783,test
0000784,train
0000785,train
0000786,train
0000787,validation
0000788,train
0000789,test
0000790,test
0000791,train
0000792,train
0000793,train
0000794,train
0000795,test
0000796,test
0000797,train
0000798,validation
0000799,train
0000800,test
0000801,train
0000802,test
0000803,train
0000804,train
0000805,validation
0000806,validation
0000807,validation
0000808,train
0000809,train
0000810,test
0000811,train
0000812,train
0000813,train
0000814,train
0000815,train
0000816,train
0000817,train
0000818,train
0000819,train
0000820,train
0000821,train
0000822,train
0000823,train
0000824,validation
0000825,validation
0000826,train
0000827,train
0000828,train
0000829,train
0000830,validation
0000831,train
0000832,train
0000833,train
0000834,train
0000835,train
0000836,train
0000837,test
0000838,test
0000839,train
0000840,train
0000841,train
0000842,train
0000843,train
0000844,train
0000845,train
0000846,train
0000847,train
0000848,train
0000849,train
0000850,validation
0000851,test
0000852,train
0000853,test
0000854,train
0000855,train
0000856,train
0000857,test
0000858,train
0000859,train
0000860,train
0000861,train
0000862,train
0000863,train
0000864,validation
0000865,train
0000866,train
0000867,test
0000868,train
0000869,train
0000870,train
0000871,validation
0000872,validation
0000873,test
0000874,train
0000875,train
0000876,train
0000877,train
0000878,train
0000879,train
0000880,train
0000881,train
0000882,train
0000883,validation
0000884,test
0000885,validation
0000886,train
0000887,validation
0000888,train
0000889,train
0000890,train
0000891,validation
0000892,train
0000893,train
0000894,train
0000895,train
0000896,train
0000897,validation
0000898,train
0000899,train
0000900,train
0000901,test
0000902,validation
0000903,validation
0000904,validation
0000905,train
0000906,train
0000907,test
0000908,train
0000909,test
0000910,train
0000911,train
0000912,train
0000913,train
0000914,train
0000915,test
0000916,train
0000917,test
0000918,train
0000919,train
0000920,train
0000921,train
0000922,test
0000923,train
0000924,train
0000925,train
0000926,train
0000927,validation
0000928,test
0000929,train
0000930,train
0000931,validation
0000932,train
0000933,test
0000934,train
0000935,validation
0000936,validation
0000937,train
0000938,test
0000939,train
0000940,train
0000941,train
0000942,validation
0000943,validation
0000944,validation
0000945,train
0000946,train
0000947,train
0000948,validation
0000949,train
0000950,train
0000951,validation
0000952,validation
0000953,test
0000954,train
0000955,train
0000956,train
0000957,validation
0000959,train
0000960,test
0000961,validation
0000963,test
0000964,validation
0000965,train
0000966,validation
0000967,train
0000968,test
0000969,validation
0000970,test
0000971,validation
0000972,train
0000973,test
0000974,test
0000975,validation
0000976,train
0000977,train
0000978,train
0000979,train
0000980,train
0000981,train
0000982,validation
0000983,train
0000984,train
0000985,train
0000986,train
0000987,train
0000988,train
0000989,train
0000990,train
0000991,train
0000992,train
0000993,train
0000994,train
0000995,validation
0000996,test
0000997,train
0000998,train
0000999,validation
0001000,train
0001001,train
0001002,train
0001003,train
0001004,validation
0001005,test
0001006,train
0001007,train
0001008,train
0001009,train
0001010,train
0001011,validation
0001012,train
0001013,test
0001014,train
0001015,train
0001016,train
0001017,validation
0001018,train
0001019,train
0001020,train
0001021,test
0001022,train
0001023,test
0001024,train
0001025,test
0001026,validation
0001027,train
0001028,train
0001029,test
0001030,train
0001031,validation
0001032,train
0001033,train
0001034,train
0001035,train
0001036,train
0001037,test
0001038,train
0001039,train
0001040,train
0001041,train
0001042,test
0001043,train
0001044,train
0001045,train
0001046,validation
0001047,train
0001048,train
0001049,test
0001050,train
0001051,train
0001052,train
0001053,train
0001054,validation
0001055,train
0001056,train
0001057,train
0001058,train
0001059,test
0001060,train
0001061,train
0001062,train
0001063,train
0001064,train
0001065,train
0001066,train
0001067,validation
0001068,train
0001069,train
0001070,train
0001071,test
0001072,train
0001073,validation
0001074,test
0001075,train
0001076,train
0001077,train
0001078,validation
0001079,test
0001080,train
0001081,test
0001082,validation
0001083,train
0001084,train
0001085,test
0001086,train
0001087,test
0001088,validation
0001089,train
0001090,test
0001091,train
0001092,validation
0001093,test
0001094,validation
0001095,train
0001096,validation
0001097,train
0001098,train
0001099,train
0001100,test
0001101,train
0001102,train
0001103,train
0001104,train
0001105,train
0001106,test
0001107,validation
0001108,train
0001109,validation
0001110,test
0001111,train
0001112,validation
0001113,train
0001114,test
0001115,test
0001116,test
0001117,train
0001118,train
0001119,train
0001120,train
0001121,test
0001122,train
0001123,train
0001124,test
0001125,train
0001126,test
0001127,train
0001128,train
0001129,train
0001130,train
0001131,train
0001132,train
0001133,train
0001134,train
0001135,train
0001136,train
0001137,train
0001138,train
0001139,train
0001140,train
0001141,train
0001142,train
0001143,train
0001144,train
0001145,test
0001146,validation
0001147,train
0001148,test
0001149,train
0001150,test
0001151,train
0001152,test
0001153,train
0001154,train
0001155,train
0001156,train
0001157,train
0001158,test
0001159,test
0001160,train
0001161,train
0001162,train
0001163,test
0001164,train
0001165,validation
0001166,train
0001167,train
0001168,train
0001169,train
0001170,train
0001171,validation
0001172,train
0001173,train
0001174,train
0001175,train
0001176,validation
0001177,train
0001178,test
0001179,train
0001180,train
0001181,train
0001182,train
0001183,test
0001184,train
0001185,train
0001186,test
0001187,validation
0001188,train
0001189,train
0001190,train
0001191,test
0001192,train
0001193,test
0001194,train
0001195,train
0001196,train
0001197,test
0001198,test
0001199,train
0001200,train
0001201,train
0001202,test
0001203,train
0001204,train
0001205,train
0001206,train
0001207,train
0001208,train
0001209,validation
0001210,train
0001211,test
0001212,train
0001213,test
0001214,validation
0001215,train
0001216,train
0001217,train
0001218,train
0001219,validation
0001220,test
0001221,train
0001222,train
0001223,train
0001224,train
0001225,test
0001226,validation
0001227,test
0001228,train
0001229,train
0001230,train
0001231,train
0001232,train
0001233,train
0001234,train
0001235,train
0001236,train
0001237,train
0001238,train
0001239,validation
0001240,train
0001241,train
0001242,train
0001243,train
0001244,train
0001245,test
0001246,train
0001247,train
0001248,test
0001249,train
0001250,test
0001251,train
0001252,train
0001253,test
0001254,train
0001255,validation
0001256,test
0001257,test
0001258,train
0001259,validation
0001260,validation
0001261,train
0001262,test
0001263,train
0001264,test
0001265,train
0001266,train
0001267,validation
0001268,train
0001269,train
0001270,validation
0001271,train
0001272,train
0001273,train
0001274,validation
0001275,validation
0001276,train
0001277,train
0001278,train
0001279,train
0001280,test
0001281,train
0001282,train
0001283,validation
0001284,validation
0001285,train
0001286,train
0001287,test
0001288,test
0001289,train
0001290,validation
0001291,train
0001292,validation
0001293,validation
0001294,train
0001295,validation
0001296,train
0001297,train
0001298,train
0001299,train
0001300,test
0001301,train
0001302,train
0001303,validation
0001304,train
0001305,train
0001306,train
0001307,train
0001308,validation
0001309,train
0001310,validation
0001311,validation
0001312,train
0001313,test
0001314,validation
0001315,train
0001316,validation
0001317,validation
0001318,test
0001319,train
0001320,train
0001321,test
0001322,train
0001323,train
0001324,train
0001325,validation
0001326,train
0001327,validation
0001328,validation
0001329,validation
0001330,train
0001331,train
0001332,train
0001333,test
0001334,validation
0001335,train
0001336,train
0001337,train
0001338,train
0001339,train
0001340,train
0001341,train
0001342,test
0001343,train
0001344,train
0001345,train
0001346,train
0001347,train
0001348,validation
0001349,validation
0001350,test
0001351,validation
0001352,test
0001353,test
0001354,test
0001355,train
0001356,validation
0001357,train
0001358,test
0001359,train
0001360,train
0001361,train
0001362,train
0001363,test
0001364,validation
0001365,train
0001366,train
0001367,validation
0001368,train
0001369,train
0001370,validation
0001371,test
0001372,test
0001373,train
0001374,train
0001375,test
0001376,test
0001377,train
0001378,train
0001379,train
0001380,train
0001381,train
0001382,train
0001383,train
0001384,train
0001385,train
0001386,test
0001387,train
0001388,validation
0001389,train
0001390,train
0001391,train
0001392,train
0001393,validation
0001394,train
0001395,train
0001396,test
0001397,train
0001398,train
0001399,train
0001400,train
0001401,validation
0001402,train
0001403,train
0001404,train
0001405,test
0001406,train
0001407,train
0001408,train
0001409,test
0001410,train
0001411,test
0001412,validation
0001413,train
0001414,train
0001415,train
0001416,test
0001417,validation
0001418,validation
0001419,train
0001420,train
0001421,test
0001422,train
0001423,train
0001424,train
0001425,train
0001426,train
0001427,train
0001428,train
0001429,train
0001430,train
0001431,train
0001432,train
0001433,validation
0001434,train
0001435,test
0001436,test
0001437,test
0001438,validation
0001439,train
0001440,train
0001441,validation
0001442,train
0001443,train
0001444,test
0001445,train
0001446,train
0001447,train
0001448,train
0001449,test
0001450,train
0001451,train
0001452,train
0001453,validation
0001454,train
0001455,train
0001456,test
0001457,test
0001458,train
0001459,train
0001460,train
0001461,test
0001462,validation
0001463,train
0001464,train
0001465,train
0001466,train
0001467,validation
0001468,train
0001469,train
0001470,train
0001471,validation
0001472,train
0001473,test
0001474,train
0001475,test
0001476,train
0001477,validation
0001478,train
0001479,train
0001480,train
0001481,validation
0001482,test
0001483,train
0001484,train
0001485,test
0001486,validation
0001487,train
0001488,train
0001489,test
0001490,train
0001491,test
0001492,train
0001493,validation
0001494,train
0001495,train
0001496,train
0001497,test
0001498,train
0001499,test
0001500,validation
0001501,test
0001502,train
0001503,validation
0001504,test
0001505,train
0001506,validation
0001507,train
0001508,validation
0001509,train
0001510,validation
0001511,test
0001512,test
0001513,train
0001514,test
0001515,test
0001516,validation
0001517,train
0001518,train
0001519,test
0001520,train
0001521,train
0001522,train
0001523,train
0001524,validation
0001525,train
0001526,test
0001527,train
0001528,train
0001529,train
0001530,train
0001531,train
0001532,train
0001533,test
0001534,train
0001535,validation
0001536,train
0001537,validation
0001538,train
0001539,test
0001540,train
0001541,train
0001542,train
0001543,validation
0001544,train
0001545,train
0001546,test
0001547,train
0001548,train
0001549,train
0001550,train
0001551,validation
0001552,train
0001553,train
0001554,train
0001555,train
0001556,train
0001557,train
0001558,train
0001559,train
0001560,validation
0001561,test
0001562,train
0001563,validation
0001564,train
0001565,test
0001566,train
0001567,train
0001568,train
0001569,test
0001570,train
0001571,test
0001572,test
0001573,train
0001574,train
0001575,train
0001576,train
0001577,train
0001578,test
0001579,test
0001580,train
0001581,test
0001582,train
0001583,train
0001584,train
0001585,validation
0001586,train
0001587,validation
0001588,train
0001589,validation
0001590,train
0001591,train
0001592,train
0001593,train
0001594,train
0001595,train
0001596,test
0001597,train
0001598,test
0001599,train
0001600,test
0001601,train
0001602,test
0001603,train
0001604,train
0001605,train
0001606,train
0001607,validation
0001608,train
0001609,test
0001610,train
0001611,test
0001612,train
0001613,validation
0001614,validation
0001615,train
0001616,train
0001617,train
0001618,train
0001619,test
0001620,test
0001621,validation
0001622,train
0001623,train
0001624,train
0001625,train
0001626,test
0001627,train
0001628,train
0001629,test
0001630,train
0001631,validation
0001632,train
0001633,validation
0001634,test
0001635,validation
0001636,train
0001637,test
0001638,train
0001639,train
0001640,validation
0001641,train
0001642,train
0001643,train
0001644,train
0001645,train
0001646,train
0001647,train
0001648,train
0001649,train
0001650,train
0001651,validation
0001652,train
0001653,test
0001654,validation
0001655,train
0001656,validation
0001657,train
0001658,test
0001659,train
0001660,validation
0001661,test
0001662,train
0001663,test
0001664,validation
0001665,test
0001666,validation
0001667,train
0001668,train
0001669,train
0001670,train
0001671,validation
0001672,test
0001673,test
0001674,test
0001675,train
0001676,validation
0001677,train
0001678,train
0001679,train
0001680,train
0001681,train
0001682,train
0001683,train
0001684,train
0001685,validation
0001686,test
0001687,test
0001688,train
0001689,train
0001690,train
0001691,test
0001692,train
0001693,train
0001694,test
0001695,test
0001696,validation
0001697,validation
0001698,train
0001700,train
0001701,validation
0001702,train
0001703,train
0001704,train
0001705,train
0001706,test
0001707,test
0001708,train
0001709,train
0001710,train
0001711,train
0001712,train
0001713,train
0001714,test
0001715,train
0001716,train
0001717,test
0001718,train
0001719,train
0001720,train
0001721,train
0001722,test
0001723,train
0001724,train
0001725,train
0001726,train
0001727,train
0001728,train
0001729,validation
0001730,validation
0001731,validation
0001732,train
0001733,train
0001734,test
0001735,test
0001736,test
0001737,train
0001738,train
0001739,train
0001740,train
0001741,train
0001742,train
0001743,validation
0001744,test
0001745,test
0001746,train
0001747,validation
0001748,test
0001749,train
0001750,test
0001751,test
0001752,train
0001753,train
0001754,train
0001755,train
0001756,train
0001757,train
0001758,validation
0001759,train
0001760,train
0001761,train
0001762,test
0001763,train
0001764,test
0001765,train
0001766,train
0001767,validation
0001768,train
0001769,validation
0001770,test
0001771,train
0001772,test
0001773,train
0001774,validation
0001775,train
0001776,validation
0001777,train
0001778,train
0001779,test
0001780,train
0001781,train
0001782,train
0001783,train
0001784,test
0001785,validation
0001786,train
0001787,test
0001788,train
0001789,test
0001790,test
0001791,validation
0001792,train
0001793,train
0001794,validation
0001795,test
0001796,validation
0001797,test
0001798,test
0001799,test
0001800,train
0001801,train
0001802,train
0001803,train
0001804,validation
0001805,validation
0001806,train
0001807,test
0001808,validation
0001809,test
0001810,validation
0001811,test
0001812,train
0001813,train
0001814,train
0001815,validation
0001816,train
0001817,train
0001818,validation
0001819,validation
0001820,train
0001821,train
0001822,train
0001823,train
0001824,train
0001825,train
0001826,train
0001827,validation
0001828,train
0001829,test
0001830,train
0001831,train
0001832,train
0001833,train
0001834,validation
0001835,train
0001836,validation
0001837,test
0001838,train
0001839,test
0001840,train
0001841,train
0001842,train
0001843,train
0001844,train
0001845,train
0001846,train
0001847,train
0001848,train
0001849,validation
0001850,train
0001851,validation
0001852,train
0001853,train
0001854,train
0001855,test
0001856,train
0001857,validation
0001858,train
0001859,train
0001860,train
0001861,train
0001862,train
0001863,train
0001864,validation
0001865,validation
0001866,test
0001867,train
0001868,test
0001869,train
0001870,validation
0001871,train
0001872,train
0001873,train
0001874,test
0001875,validation
0001876,validation
0001877,train
0001878,train
0001879,validation
0001880,train
0001881,test
0001882,train
0001883,train
0001884,test
0001885,train
0001886,train
0001887,test
0001888,train
0001889,test
0001890,test
0001891,train
0001892,train
0001893,train
0001894,validation
0001895,test
0001896,validation
0001897,train
0001898,train
0001899,train
0001900,train
0001901,train
0001902,train
0001903,validation
0001904,train
0001905,test
0001906,validation
0001907,train
0001908,validation
0001909,test
0001910,train
0001911,train
0001912,train
0001913,train
0001914,train
0001915,train
0001916,train
0001917,train
0001918,train
0001919,test
0001920,train
0001921,train
0001922,train
0001923,train
0001924,validation
0001925,test
0001926,train
0001927,test
0001928,train
0001929,train
0001930,train
0001931,train
0001932,validation
0001933,train
0001934,validation
0001935,validation
0001936,train
0001937,train
0001938,train
0001939,train
0001940,train
0001941,train
0001942,validation
0001943,train
0001944,train
0001945,test
0001946,train
0001947,train
0001948,train
0001949,train
0001950,validation
0001951,train
0001952,train
0001953,train
0001954,test
0001955,train
0001956,train
0001957,test
0001958,test
0001959,train
0001960,validation
0001961,test
0001962,validation
0001963,validation
0001964,train
0001965,train
0001966,validation
0001967,test
0001968,test
0001969,test
0001970,train
0001971,train
0001972,train
0001973,validation
0001974,train
0001975,train
0001976,train
0001977,train
0001978,train
0001979,train
0001980,train
0001981,train
0001982,validation
0001983,train
0001984,train
0001985,test
0001986,validation
0001987,test
0001988,test
0001989,train
0001990,train
0001991,train
0001992,train
0001993,train
0001994,train
0001995,train
0001996,validation
0001997,train
0001998,train
0001999,train
0002000,train
0002001,train
0002002,train
0002003,validation
0002004,train
0002005,validation
0002006,train
0002007,validation
0002008,train
0002009,train
0002010,train
0002011,train
0002012,train
0002013,test
0002014,train
0002015,train
0002016,test
0002017,train
0002018,validation
0002019,train
0002020,validation
0002021,train
0002022,test
0002023,train
0002024,test
0002025,train
0002026,train
0002027,train
0002028,train
0002029,test
0002030,train
0002031,validation
0002032,validation
0002033,test
0002034,test
0002035,validation
0002036,train
0002037,train
0002038,train
0002039,train
0002040,test
0002041,validation
0002042,train
0002043,test
0002044,train
0002045,validation
0002046,train
0002047,train
0002048,train
0002049,train
0002050,train
0002051,validation
0002052,train
0002053,train
0002054,train
0002055,train
0002056,train
0002057,train
0002058,train
0002059,test
0002060,train
0002061,train
0002062,train
0002063,validation
0002064,train
0002065,train
0002066,train
0002067,train
0002068,train
0002069,validation
0002070,validation
0002071,test
0002072,train
0002073,test
0002074,train
0002075,train
0002076,train
0002077,train
0002078,validation
0002079,test
0002080,train
0002081,train
0002082,validation
0002083,train
0002084,train
0002085,validation
0002086,train
0002087,train
0002088,validation
0002089,test
0002090,train
0002091,train
0002092,test
0002093,train
0002094,train
0002095,validation
0002096,validation
0002097,validation
0002098,train
0002099,train
0002100,train
0002101,train
0002102,test
0002103,train
0002104,train
0002105,train
0002106,train
0002107,train
0002108,train
0002109,train
0002110,train
0002111,test
0002112,test
0002113,test
0002114,train
0002115,train
0002116,train
0002117,train
0002118,train
0002119,train
0002120,validation
0002121,train
0002122,train
0002123,test
0002124,train
0002125,train
0002126,test
0002127,train
0002128,test
0002129,train
0002130,train
0002131,test
0002132,test
0002133,validation
0002134,train
0002135,validation
0002136,train
0002137,validation
0002138,train
0002139,train
0002140,train
0002141,train
0002142,test
0002143,train
0002144,train
0002145,train
0002146,train
0002147,train
0002148,train
0002149,test
0002150,train
0002151,train
0002152,train
0002153,train
0002154,test
0002155,validation
0002156,test
0002157,train
0002158,validation
0002159,validation
0002160,train
0002161,test
0002162,train
0002163,train
0002164,train
0002165,train
0002166,train
0002167,validation
0002168,validation
0002169,train
0002170,validation
0002171,test
0002172,test
0002173,validation
0002174,train
0002175,train
0002176,train
0002177,train
0002178,validation
0002179,train
0002180,validation
0002181,validation
0002182,validation
0002183,train
0002184,train
0002185,validation
0002186,train
0002187,test
0002188,test
0002189,validation
0002190,validation
0002191,train
0002192,train
0002193,test
0002194,train
0002195,test
0002196,train
0002197,train
0002198,train
0002199,train
0002200,train
0002201,train
0002202,train
0002203,test
0002204,validation
0002205,train
0002206,train
0002207,train
0002208,train
0002209,train
0002210,train
0002211,validation
0002212,train
0002213,train
0002214,test
0002215,validation
0002216,train
0002217,train
0002218,train
0002219,test
0002220,test
0002221,train
0002222,train
0002223,train
0002224,validation
0002225,test
0002226,train
0002227,train
0002228,train
0002229,train
0002230,train
0002231,test
0002232,train
0002233,train
0002234,validation
0002235,train
0002236,test
0002237,train
0002238,train
0002239,train
0002240,test
0002241,train
0002242,train
0002243,test
0002244,validation
0002245,train
0002246,train
0002247,train
0002248,validation
0002249,test
0002250,train
0002251,train
0002252,train
0002253,test
0002254,train
0002255,train
0002256,test
0002257,train
0002258,train
0002259,train
0002260,validation
0002261,train
0002262,train
0002263,train
0002264,test
0002265,validation
0002266,train
0002267,train
0002268,train
0002269,validation
